iter	Logloss
0	0.6866633357
1	0.6802360379
2	0.6744109173
3	0.66870631
4	0.6633195682
5	0.6576402625
6	0.651857415
7	0.6465659628
8	0.6410518568
9	0.6359677996
10	0.6324919097
11	0.6269932182
12	0.6227206795
13	0.6180794385
14	0.6147005509
15	0.609938135
16	0.6055112566
17	0.6007798643
18	0.5985278694
19	0.594538747
20	0.589980612
21	0.5855116941
22	0.5819414878
23	0.5776401831
24	0.5741735186
25	0.5713279101
26	0.5676710946
27	0.5645317545
28	0.5615539551
29	0.559166266
30	0.5560328425
31	0.5535514209
32	0.5508408838
33	0.5475288703
34	0.5440370209
35	0.5410125499
36	0.5395421787
37	0.5363766806
38	0.5341057291
39	0.5318828505
40	0.5289026766
41	0.5269735687
42	0.525102304
43	0.5228057783
44	0.5210864009
45	0.5181866081
46	0.5152300621
47	0.5131877199
48	0.5120329565
49	0.5094711537
50	0.5082244095
51	0.5059279617
52	0.5035564267
53	0.5016251389
54	0.5006518461
55	0.4985863043
56	0.4967001312
57	0.495123182
58	0.4934424575
59	0.491514712
60	0.4895975541
61	0.488124536
62	0.4861616796
63	0.4842090607
64	0.4834359227
65	0.4826789389
66	0.481937097
67	0.4800002818
68	0.4779139927
69	0.4764473584
70	0.4746433959
71	0.4730202033
72	0.4718845912
73	0.4702130143
74	0.468303914
75	0.4664673319
76	0.4649861005
77	0.4639018312
78	0.462188565
79	0.460776115
80	0.4596705923
81	0.4587503939
82	0.4575185192
83	0.4564202756
84	0.4552256526
85	0.4547421202
86	0.4538833073
87	0.4534192377
88	0.4521859227
89	0.450922713
90	0.449746346
91	0.4482586919
92	0.4470638353
93	0.4465498243
94	0.4453018733
95	0.4441166313
96	0.4432371879
97	0.4422600415
98	0.440960164
99	0.4400957847
100	0.4389188338
101	0.4379615784
102	0.43700479
103	0.4363819044
104	0.4360662966
105	0.434881405
106	0.4338208023
107	0.433086006
108	0.4321246634
109	0.4312355664
110	0.4304546823
111	0.4297285664
112	0.4285851303
113	0.4279241367
114	0.4275827213
115	0.4271809325
116	0.4260103654
117	0.4252666162
118	0.4243470017
119	0.4236460316
120	0.4229006865
121	0.4226693912
122	0.4218113958
123	0.4213542938
124	0.4208294615
125	0.4200147901
126	0.4191193873
127	0.4185084518
128	0.4180886405
129	0.4174932752
130	0.4167936286
131	0.4162722996
132	0.4155019643
133	0.4146955451
134	0.4145045378
135	0.413799753
136	0.4130016638
137	0.4124479488
138	0.4120653114
139	0.4113548824
140	0.41088548
141	0.4101230855
142	0.4095464823
143	0.4092676202
144	0.4089544647
145	0.4085475377
146	0.4081687927
147	0.4075855333
148	0.407002741
149	0.4065886906
150	0.4061431885
151	0.4054144645
152	0.4048594261
153	0.4043502029
154	0.4040148599
155	0.4035990968
156	0.4028549194
157	0.4025278675
158	0.4020779668
159	0.4016392377
160	0.401087469
161	0.4004055724
162	0.3997631462
163	0.3990078751
164	0.3987993513
165	0.3984764644
166	0.3982403814
167	0.3976174958
168	0.3972301872
169	0.396796246
170	0.3963596967
171	0.3958396912
172	0.3954451425
173	0.394993023
174	0.3948272394
175	0.3943345206
176	0.3940133854
177	0.3936708801
178	0.3935133486
179	0.3931068109
180	0.3926636832
181	0.3925952133
182	0.3920692132
183	0.3915313799
184	0.3911423975
185	0.390731578
186	0.3903272979
187	0.3898027381
188	0.3894877531
189	0.3894294427
190	0.3889139915
191	0.3886906371
192	0.3884614828
193	0.3881079226
194	0.3878046931
195	0.3874959362
196	0.387137705
197	0.3867069556
198	0.3863403943
199	0.385966009
200	0.385542383
201	0.3852293832
202	0.3849752776
203	0.3849239349
204	0.3847811952
205	0.3845354975
206	0.3842100027
207	0.3837864156
208	0.3835267047
209	0.3831084894
210	0.3828910127
211	0.3825645058
212	0.3823594074
213	0.3822089215
214	0.3820415419
215	0.3815684027
216	0.3811363298
217	0.3808144939
218	0.380666616
219	0.3803738575
220	0.3800438083
221	0.3797041835
222	0.379631315
223	0.3795417085
224	0.379421312
225	0.379091691
226	0.3789559189
227	0.3785600857
228	0.3782707526
229	0.3779132999
230	0.3778121715
231	0.3777076565
232	0.3774620368
233	0.3773398497
234	0.3771197261
235	0.3770653082
236	0.376749389
237	0.3763224154
238	0.376245304
239	0.3759520394
240	0.3755979733
241	0.3753560903
242	0.3750262747
243	0.374974426
244	0.3747280666
245	0.3743940859
246	0.3743115639
247	0.3740601053
248	0.373986614
249	0.373817366
250	0.3735607692
251	0.3732763796
252	0.373079806
253	0.3729457466
254	0.3728560623
255	0.372699504
256	0.3725596837
257	0.3722551696
258	0.3720121578
259	0.3717898933
260	0.3715508519
261	0.3713708605
262	0.3710971754
263	0.3707899366
264	0.3704764697
265	0.3703731615
266	0.3701782227
267	0.3699401544
268	0.3699263748
269	0.3696404282
270	0.3694728151
271	0.3692855835
272	0.3690967949
273	0.3688881543
274	0.3686091365
275	0.3683366581
276	0.3681797105
277	0.3678096071
278	0.367519184
279	0.367343669
280	0.3673313686
281	0.367160875
282	0.3671467839
283	0.3669919384
284	0.3668794048
285	0.3666665213
286	0.3665046692
287	0.3662325801
288	0.3660530947
289	0.3657290011
290	0.3654606099
291	0.3652350757
292	0.3648499469
293	0.3646835794
294	0.3645135529
295	0.3643144102
296	0.3640696078
297	0.3639158132
298	0.3637783673
299	0.3636552071
300	0.3633224332
301	0.3630807838
302	0.3629019212
303	0.3628314661
304	0.3625818759
305	0.3624086185
306	0.3622303009
307	0.3619431865
308	0.3618807111
309	0.3615259443
310	0.3614494557
311	0.3613200285
312	0.3611512476
313	0.3610255572
314	0.3607646397
315	0.3607398831
316	0.3605886187
317	0.3604598921
318	0.3603205778
319	0.3601436226
320	0.3600557678
321	0.3598500466
322	0.3597572093
323	0.3596115502
324	0.359472703
325	0.3593328826
326	0.3592286402
327	0.3590808012
328	0.359035959
329	0.3588778437
330	0.3587580311
331	0.3586278643
332	0.3586065331
333	0.3583396211
334	0.3581612256
335	0.3581104668
336	0.3579649633
337	0.3578681557
338	0.3576483824
339	0.3574803021
340	0.3572506029
341	0.3570066569
342	0.3568885959
343	0.3566269388
344	0.3564727939
345	0.3563304045
346	0.3562342975
347	0.3561853681
348	0.3559168212
349	0.3558278765
350	0.3557041324
351	0.3555111788
352	0.3552668435
353	0.3550632633
354	0.3549784446
355	0.3548886046
356	0.3548141012
357	0.3546792634
358	0.3544580888
359	0.3543010634
360	0.3541710523
361	0.3541219672
362	0.3540268334
363	0.3538667329
364	0.3538222799
365	0.3537165583
366	0.3536615956
367	0.3535832775
368	0.353568408
369	0.353500989
370	0.3534230213
371	0.3533401489
372	0.353035596
373	0.3528795437
374	0.3527291746
375	0.3525218574
376	0.3524213518
377	0.3522674016
378	0.3521019683
379	0.3519920038
380	0.3519487186
381	0.3517361077
382	0.3517263763
383	0.351502944
384	0.3513783825
385	0.3511763203
386	0.3508767498
387	0.3506298844
388	0.3505812664
389	0.3505434698
390	0.3504804494
391	0.3502302364
392	0.3501765582
393	0.3500997582
394	0.3499867576
395	0.3499157964
396	0.3496421113
397	0.3493147869
398	0.3491366639
399	0.3489985174
400	0.348711442
401	0.3486772265
402	0.3485084845
403	0.3485038913
404	0.3483662508
405	0.3481603739
406	0.3480227723
407	0.3479049838
408	0.3478007414
409	0.3477307144
410	0.3475843936
411	0.3474905831
412	0.3472949437
413	0.3471200515
414	0.3468761833
415	0.3467597183
416	0.3465843979
417	0.3464671544
418	0.3464221565
419	0.3463460183
420	0.3463005922
421	0.3460610837
422	0.3459895387
423	0.3458110264
424	0.3456708168
425	0.3456350054
426	0.3455569598
427	0.3455515492
428	0.3454264427
429	0.3452468405
430	0.3450893091
431	0.3450072152
432	0.3449373829
433	0.3449158571
434	0.3446346205
435	0.3445590272
436	0.3444199854
437	0.3443201805
438	0.3442379698
439	0.3441637
440	0.3441617538
441	0.3439441214
442	0.3438500774
443	0.3435820755
444	0.3434962448
445	0.3433798965
446	0.3433639371
447	0.3433505856
448	0.3432734742
449	0.3430941445
450	0.3429760057
451	0.3427673651
452	0.3426343957
453	0.3424831313
454	0.3423237703
455	0.3423028284
456	0.3422373947
457	0.342095667
458	0.3419393033
459	0.3417493859
460	0.3415926719
461	0.3415015084
462	0.3413065696
463	0.3412909216
464	0.3411461188
465	0.3411072712
466	0.3410716933
467	0.3409729782
468	0.3408162642
469	0.3407450306
470	0.3406104263
471	0.3405398544
472	0.3405019799
473	0.3402465509
474	0.3401275168
475	0.340045384
476	0.3399303203
477	0.3398461245
478	0.3396733342
479	0.3396305941
480	0.3395361608
481	0.3394894503
482	0.339336006
483	0.3391861429
484	0.3391005068
485	0.3389599469
486	0.3388031551
487	0.3387233189
488	0.3386955261
489	0.3385554722
490	0.3382967346
491	0.3381520485
492	0.338136634
493	0.3379544628
494	0.3377636112
495	0.3375166679
496	0.3373043683
497	0.3370257008
498	0.3369750977
499	0.3368634983
500	0.3368508864
501	0.3366885672
502	0.3366565704
503	0.3366078747
504	0.3364839359
505	0.3363858048
506	0.336351239
507	0.336219554
508	0.3360521745
509	0.335939602
510	0.3358074889
511	0.3356092025
512	0.3355051936
513	0.3354152368
514	0.335233338
515	0.3351056235
516	0.3350462622
517	0.334793013
518	0.3347071823
519	0.3346594986
520	0.3345326015
521	0.3344521036
522	0.3343600059
523	0.334320263
524	0.3343073008
525	0.3342607848
526	0.3342343155
527	0.3340211596
528	0.3338885405
529	0.3337753841
530	0.3336987787
531	0.3336950419
532	0.3335487599
533	0.3334233031
534	0.3334030618
535	0.3333469313
536	0.3331596608
537	0.3330502802
538	0.3328621144
539	0.3328061785
540	0.3327953572
541	0.332707697
542	0.3325152494
543	0.3324975384
544	0.3324171183
545	0.332348337
546	0.3322162239
547	0.332047988
548	0.3318370897
549	0.3318243221
550	0.3318143572
551	0.3316940775
552	0.3316642606
553	0.3316329645
554	0.3314920542
555	0.3314402444
556	0.3313727087
557	0.3313010858
558	0.3311627836
559	0.3310268169
560	0.3308483435
561	0.3307368999
562	0.33053729
563	0.3304536002
564	0.3302394711
565	0.3299948634
566	0.3299069307
567	0.329867071
568	0.3295958772
569	0.329479996
570	0.3293725617
571	0.3293063495
572	0.3291281097
573	0.3290263585
574	0.3288773517
575	0.3288125797
576	0.3286415412
577	0.3285406463
578	0.3283866571
579	0.3281971289
580	0.3280496403
581	0.3278863868
582	0.3277979481
583	0.32770188
584	0.3276682484
585	0.3275996228
586	0.3274958864
587	0.3273666927
588	0.3271926568
589	0.3269988079
590	0.3269306884
591	0.3267652551
592	0.326564166
593	0.3264926599
594	0.3262825207
595	0.326161404
596	0.3260550207
597	0.3260232964
598	0.3259085441
599	0.3258423708
600	0.3256632552
601	0.3255890632
602	0.3254808309
603	0.3253426844
604	0.3252117001
605	0.3250922573
606	0.3250001985
607	0.3247441467
608	0.3246199549
609	0.324553587
610	0.3244259114
611	0.324417484
612	0.3243496175
613	0.3242359551
614	0.3241505136
615	0.3240053021
616	0.3237701922
617	0.3235701736
618	0.3234992319
619	0.3233300034
620	0.323270136
621	0.3232588865
622	0.3229899114
623	0.3228298109
624	0.3227673355
625	0.3225391154
626	0.3224527398
627	0.3224196921
628	0.3223274192
629	0.3222157809
630	0.3221707831
631	0.3219178064
632	0.3218640697
633	0.3217945877
634	0.3216812562
635	0.3216314705
636	0.3214059363
637	0.3213611914
638	0.3212816277
639	0.3211296043
640	0.3210354241
641	0.3209748755
642	0.320899399
643	0.3208205165
644	0.320685445
645	0.3206761224
646	0.3204662751
647	0.3204480969
648	0.3203826826
649	0.3203306393
650	0.3203031579
651	0.3200397686
652	0.3199235371
653	0.3198799017
654	0.3198701897
655	0.3198344562
656	0.3197397505
657	0.3195319857
658	0.3194534146
659	0.3193347503
660	0.3192809553
661	0.3192522088
662	0.319150477
663	0.3190363865
664	0.319018578
665	0.3189311903
666	0.3188503032
667	0.3185990781
668	0.3185617291
669	0.3183762687
670	0.3181546854
671	0.3180242266
672	0.3179744798
673	0.3176433797
674	0.3176125507
675	0.3175577047
676	0.3174421349
677	0.3173726919
678	0.3172453666
679	0.3170540284
680	0.3170417085
681	0.3170417863
682	0.3168837489
683	0.3167501566
684	0.31667686
685	0.3165332444
686	0.3164800722
687	0.3163971025
688	0.3162204392
689	0.3160855624
690	0.3158027882
691	0.3155822559
692	0.3155672307
693	0.3154981574
694	0.3154378619
695	0.3153464648
696	0.3153047172
697	0.3152825686
698	0.315199852
699	0.3151097979
700	0.3149708923
701	0.3148563151
702	0.3147559847
703	0.3147201343
704	0.3145647244
705	0.3143377109
706	0.3142240875
707	0.3140940764
708	0.3139473857
709	0.313932088
710	0.3137405746
711	0.3136420347
712	0.313589135
713	0.3134966091
714	0.3133585015
715	0.3131947225
716	0.3131310794
717	0.3130850889
718	0.3130121426
719	0.3128203567
720	0.3126856746
721	0.3124663489
722	0.3123306158
723	0.312147413
724	0.312073727
725	0.3120386163
726	0.3118081385
727	0.3117933273
728	0.3116742348
729	0.3113744502
730	0.311339281
731	0.3111612748
732	0.3110848446
733	0.311043642
734	0.3109379009
735	0.3108551259
736	0.3107813232
737	0.3107686529
738	0.3105958043
739	0.3104640026
740	0.3103561012
741	0.3102991338
742	0.3102343034
743	0.3099563754
744	0.3098598792
745	0.3097898522
746	0.3096766958
747	0.3095401258
748	0.3094082657
749	0.3093249652
750	0.3092763083
751	0.3091907307
752	0.309033316
753	0.3090091044
754	0.3088332974
755	0.308716521
756	0.3085757664
757	0.3084687603
758	0.3084136223
759	0.3082665035
760	0.308195951
761	0.3079251659
762	0.3076458367
763	0.3076030965
764	0.3075922168
765	0.3074484261
766	0.3072734171
767	0.3072227167
768	0.3072172087
769	0.307179198
770	0.3070629859
771	0.3069459565
772	0.3068213171
773	0.3066917731
774	0.3065779939
775	0.306492533
776	0.3063537442
777	0.3062774113
778	0.3061485291
779	0.3060820833
780	0.3059968364
781	0.3058425942
782	0.3057588266
783	0.3057116684
784	0.3056089829
785	0.3055085941
786	0.3052975012
787	0.3052390546
788	0.3051221419
789	0.3050504023
790	0.3049727265
791	0.3048918977
792	0.3048588889
793	0.3047150787
794	0.3046607582
795	0.3045892326
796	0.3045771268
797	0.3043653332
798	0.3043547844
799	0.3042624727
800	0.3041455989
801	0.303976312
802	0.3039132722
803	0.3037943743
804	0.3036645773
805	0.3035887504
806	0.3035763916
807	0.3034230057
808	0.3032861437
809	0.3032372144
810	0.3031875065
811	0.3029871182
812	0.302842218
813	0.3028056476
814	0.3025930755
815	0.3024766105
816	0.3024500438
817	0.3024067976
818	0.3023367901
819	0.3021737702
820	0.3018680884
821	0.3017669795
822	0.301671904
823	0.3015288528
824	0.3014630298
825	0.301272256
826	0.3012069001
827	0.3010713422
828	0.3010274537
829	0.3008749436
830	0.3006465289
831	0.300598923
832	0.3004203135
833	0.3002524473
834	0.3001095324
835	0.3000659748
836	0.2999988867
837	0.2998137961
838	0.2996666967
839	0.2994535018
840	0.2993229847
841	0.2992655696
842	0.2991618915
843	0.2991343907
844	0.2991109186
845	0.2990502338
846	0.2988860072
847	0.2987249335
848	0.2985904655
849	0.2985442415
850	0.2984852304
851	0.298402397
852	0.2983519301
853	0.2982333631
854	0.2981405842
855	0.2979474749
856	0.2978432519
857	0.2976986827
858	0.2975103028
859	0.2972718648
860	0.2971647418
861	0.2970628544
862	0.2970166888
863	0.2969468175
864	0.2967642959
865	0.2966899483
866	0.2966337399
867	0.2965304122
868	0.2964341495
869	0.2963335076
870	0.2960828664
871	0.2959481843
872	0.2957484187
873	0.2956876366
874	0.2956509104
875	0.2955753171
876	0.2955226509
877	0.2954829469
878	0.2953364314
879	0.2952082887
880	0.2951183708
881	0.2950150237
882	0.2948729457
883	0.2947205135
884	0.2945772482
885	0.2945388483
886	0.2944462445
887	0.2943577669
888	0.294338674
889	0.2941344903
890	0.294032311
891	0.2939308322
892	0.2938442814
893	0.2937255782
894	0.2935242556
895	0.2934115274
896	0.2933237504
897	0.2932515436
898	0.2930686912
899	0.2929771968
900	0.2927802339
901	0.2927588833
902	0.2925713792
903	0.2923725089
904	0.2923113959
905	0.2922183835
906	0.2920285828
907	0.2919100547
908	0.2918228617
909	0.2916770079
910	0.2916045675
911	0.2915529329
912	0.2914784879
913	0.2914362927
914	0.2911956748
915	0.2909959287
916	0.2909449363
917	0.2907632711
918	0.2907019051
919	0.2905733147
920	0.2903298359
921	0.2902619303
922	0.2901734722
923	0.290026003
924	0.2898475881
925	0.2897930924
926	0.2897244473
927	0.289675518
928	0.289558761
929	0.2894818442
930	0.2893061541
931	0.289169078
932	0.2891106703
933	0.289071881
934	0.2889816518
935	0.288924081
936	0.2887358374
937	0.2886281305
938	0.2885201123
939	0.2884824714
940	0.2884184779
941	0.2883663567
942	0.2883015652
943	0.2880731699
944	0.2879231511
945	0.2878260321
946	0.2877402792
947	0.2876038843
948	0.2874928883
949	0.2874185601
950	0.2873662053
951	0.2872489618
952	0.2871364671
953	0.287076483
954	0.2868224747
955	0.2866689332
956	0.2865070421
957	0.2864578792
958	0.2862210176
959	0.2861255918
960	0.2859512251
961	0.2858862974
962	0.285768178
963	0.2856560921
964	0.2853816675
965	0.2853167787
966	0.2852624776
967	0.2851649109
968	0.2849891818
969	0.2847999067
970	0.2845781871
971	0.2845164513
972	0.2843011739
973	0.2841275857
974	0.2840495596
975	0.2839964263
976	0.2839473608
977	0.2838121336
978	0.2836005931
979	0.2835389741
980	0.2833524042
981	0.2833212249
982	0.2831308598
983	0.2830536317
984	0.2829916818
985	0.2827425392
986	0.2826811343
987	0.2824477176
988	0.282369711
989	0.2822334523
990	0.2821874035
991	0.2820360807
992	0.2818053109
993	0.2817250466
994	0.281613019
995	0.2815656467
996	0.2815044948
997	0.2814689169
998	0.2813973913
999	0.281347158
